paper,table,pdf_page,model,stage,metric,paper_value,previous_v2,current_reproduction,test_n,run,arm,relative_error_change_pct,comparability,status
P1,8,11,P1_ERT,B,r2,0.701,0.7007640275126004,0.715444596008262,186.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,8,11,P1_ERT,B,rmse,4.792,4.6663779731496415,4.550471847640923,186.0,phm_cmp_completion_v3,selected,-5.040236902317973,partial_reproduction,evaluated
P1,8,11,P1_ERT,B,relative_error,0.048,0.0461422521085071,0.04467325739115391,186.0,phm_cmp_completion_v3,selected,-6.930713768429364,partial_reproduction,evaluated
P1,8,11,P1_ERT,B,s_score,0.444,1.425639228336988,1.4133526153184113,186.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,8,11,P1_CART_Stack,B,r2,0.725,0.6547037791832664,0.7118460870622376,186.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,8,11,P1_CART_Stack,B,rmse,4.5,5.012667818633366,4.579154256415948,186.0,phm_cmp_completion_v3,selected,1.7589834759099476,partial_reproduction,evaluated
P1,8,11,P1_CART_Stack,B,relative_error,0.044,0.0485709919921738,0.046362178994391996,186.0,phm_cmp_completion_v3,selected,5.368588623618176,partial_reproduction,evaluated
P1,8,11,P1_CART_Stack,B,s_score,0.404,1.4724997748832604,1.4361911410368537,186.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P1,8,11,P1_ELM_Stack,B,r2,0.727,0.721288074997234,0.749588201604275,186.0,phm_cmp_completion_v3,selected,,partial_reproduction,evaluated
P1,8,11,P1_ELM_Stack,B,rmse,4.485,4.503506443482079,4.26874690971372,186.0,phm_cmp_completion_v3,selected,-4.821696550418741,partial_reproduction,evaluated
P1,8,11,P1_ELM_Stack,B,relative_error,0.044,0.044115728379981,0.04189572833789833,186.0,phm_cmp_completion_v3,selected,-4.7824355956856195,partial_reproduction,evaluated
P1,8,11,P1_ELM_Stack,B,s_score,0.404,1.412844279568622,1.3829612616295615,186.0,phm_cmp_completion_v3,selected,,formula_table_ambiguity,evaluated
P2,5,7,P2_Integrated,all,mse,7.07,7.074313480095851,7.074313480095678,424.0,phm_cmp_completion_v3,clean_ordinary,0.06101103388511664,partial_reproduction,evaluated
P2,5,7,P2_Persistent,all,mse,8.23,12.98903367810142,12.98903367810142,424.0,phm_cmp_completion_v3,clean_ordinary,57.825439588109596,partial_reproduction,evaluated
P2,5,7,P2_KNN,all,mse,9.6,11.471022391472408,11.471022391472408,424.0,phm_cmp_completion_v3,clean_ordinary,19.489816577837594,partial_reproduction,evaluated
P2,5,7,P2_SVR,all,mse,7.44,9.080986326813624,9.080986326813624,424.0,phm_cmp_completion_v3,clean_ordinary,22.05626783351644,partial_reproduction,evaluated
P2,5,7,P2_LR,all,mse,7.32,351.1078911688693,351.1078912117482,424.0,phm_cmp_completion_v3,clean_ordinary,4696.555890870877,partial_reproduction,evaluated
P2,5,7,P2_Bagging,all,mse,7.22,7.170210676196104,7.170210676196105,424.0,phm_cmp_completion_v3,clean_ordinary,-0.6896028227686202,partial_reproduction,evaluated
P2,5,7,P2_DBN,all,mse,7.29,,,,phm_cmp_completion_v3,clean_ordinary,,no_standalone_test_result,DBN not implemented
P3,II,5,P3_RF,all,mse,7.6,9.477434967180155,9.477434967180153,424.0,phm_cmp_completion_v3,legacy_clean_1977,24.70309167342308,partial_reproduction,evaluated
P3,II,5,P3_RF_CPP,all,mse,7.4,8.685100884166745,8.685100884166744,424.0,phm_cmp_completion_v3,legacy_clean_1977,17.366228164415443,partial_reproduction,evaluated
P3,II,5,P3_Ensemble_NN,all,mse,8.2,,,,phm_cmp_completion_v3,legacy_clean_1977,,no_standalone_test_result,NN implemented as GA candidate; no standalone official Test reproduction
